review_id,char_count,word_count,sentence_count,avg_word_length,uppercase_ratio,punctuation_density,exclamation_count,question_count,has_emoji,readability_score,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,positive_keyword_count,negative_keyword_count,beach_keyword_count,temple_keyword_count,nature_keyword_count,historical_keyword_count,destination,district,location_type,has_beach,has_temple,has_nature,has_historical,district_encoded,loctype_beaches,loctype_bodies_of_water,loctype_farms,loctype_gardens,loctype_historic_sites,loctype_museums,loctype_national_parks,loctype_nature_spots,loctype_waterfalls,loctype_religious_sites,loctype_historical_sites,loctype_other,latitude,longitude
691e199e8e0bdde971bea2ad,230,45,6,4.133333333333334,0.006060606060606061,0.043478260869565216,0,0,0,93.9425,0.041,0.804,0.155,0.7003,2,0,1,0,1,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ae,128,18,4,6.166666666666667,0.01,0.0859375,0,2,0,59.745000000000005,0.0,0.792,0.208,0.6662,1,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2af,116,22,2,4.318181818181818,0.022222222222222223,0.04310344827586207,0,0,0,91.84272727272729,0.067,0.52,0.413,0.9062,2,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b0,139,22,4,5.363636363636363,0.02727272727272727,0.05755395683453238,0,2,0,64.53482142857146,0.0,0.689,0.311,0.8205,1,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b1,165,31,2,4.354838709677419,0.015037593984962405,0.012121212121212121,0,0,0,76.48314516129035,0.297,0.641,0.061,-0.8988,2,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b2,100,20,1,4.05,0.0,0.0,0,0,0,80.78500000000003,0.0,0.753,0.247,0.7103,1,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b3,224,38,3,4.921052631578948,0.03333333333333333,0.022321428571428572,0,0,0,62.625701754386,0.0,1.0,0.0,0.0,0,0,2,0,1,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b4,287,56,4,4.142857142857143,0.03524229074889868,0.017421602787456445,0,0,0,79.32142857142858,0.0,0.833,0.167,0.8553,1,0,4,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b5,779,148,6,4.27027027027027,0.04738562091503268,0.011553273427471117,0,0,0,64.38750000000003,0.012,0.972,0.016,0.1803,1,0,3,1,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b6,278,51,5,4.470588235294118,0.018518518518518517,0.04316546762589928,0,0,0,75.38788235294118,0.0,0.735,0.265,0.9481,3,0,7,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b7,713,132,7,4.409090909090909,0.023172905525846704,0.021037868162692847,0,0,0,74.26863636363638,0.0,0.855,0.145,0.9647,2,0,8,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b8,101,17,1,5.0,0.011764705882352941,0.0,0,0,0,60.19176470588238,0.0,0.598,0.402,0.8555,2,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2b9,201,38,4,4.315789473684211,0.02531645569620253,0.029850746268656716,0,0,0,71.68949324324328,0.0,0.698,0.302,0.9402,3,1,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ba,202,39,4,4.205128205128205,0.0375,0.019801980198019802,0,0,0,81.96951923076924,0.0,0.815,0.185,0.7996,2,0,4,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2bb,373,61,7,5.131147540983607,0.05423728813559322,0.04825737265415549,0,0,0,57.13500000000002,0.039,0.772,0.19,0.8992,0,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2bc,155,29,3,4.379310344827586,0.024193548387096774,0.01935483870967742,0,0,0,68.66471264367817,0.0,0.651,0.349,0.9247,1,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2bd,823,158,9,4.215189873417722,0.0167427701674277,0.010935601458080195,0,0,0,78.7148452883263,0.053,0.775,0.172,0.9724,3,0,9,0,1,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2be,240,44,3,4.4772727272727275,0.03125,0.020833333333333332,0,0,0,70.81651515151518,0.0,0.917,0.083,0.5994,1,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2bf,176,30,2,4.9,0.0410958904109589,0.005681818181818182,0,0,0,53.430000000000035,0.0,0.924,0.076,0.34,0,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c0,157,26,2,5.076923076923077,0.030534351145038167,0.006369426751592357,0,0,0,53.72461538461542,0.0,0.919,0.081,0.296,0,1,0,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c1,258,49,3,4.285714285714286,0.014778325123152709,0.027131782945736434,0,0,0,81.48523809523812,0.044,0.796,0.159,0.7579,2,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c2,261,55,2,3.7636363636363637,0.029556650246305417,0.01532567049808429,2,0,0,74.3261363636364,0.0,0.935,0.065,0.5837,1,1,4,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c3,631,132,8,3.787878787878788,0.028688524590163935,0.014263074484944533,1,0,0,87.54204545454546,0.032,0.832,0.136,0.948,2,0,7,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c4,136,22,3,5.2272727272727275,0.03669724770642202,0.04411764705882353,1,0,0,76.46090909090911,0.0,0.533,0.467,0.9501,4,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c5,174,28,4,5.25,0.044444444444444446,0.06896551724137931,0,0,0,72.83000000000003,0.0,1.0,0.0,0.0,1,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c6,603,113,6,4.345132743362832,0.025052192066805846,0.01990049751243781,0,0,0,72.42359144542775,0.11,0.66,0.229,0.9536,3,0,4,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c7,289,54,3,4.37037037037037,0.02575107296137339,0.010380622837370242,0,0,0,71.06500000000001,0.0,0.763,0.237,0.9349,1,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c8,210,39,5,4.410256410256411,0.03614457831325301,0.02857142857142857,0,0,0,77.63105769230769,0.0,0.578,0.422,0.9666,4,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2c9,125,19,2,5.631578947368421,0.019230769230769232,0.024,1,0,0,40.613157894736844,0.0,0.564,0.436,0.9244,2,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ca,151,32,1,3.75,0.008620689655172414,0.0,0,0,0,76.53625000000002,0.0,0.655,0.345,0.9217,1,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2cb,232,43,4,4.4186046511627906,0.021621621621621623,0.021551724137931036,1,0,0,75.90979651162792,0.0,0.88,0.12,0.68,0,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2cc,146,30,2,3.9,0.017391304347826087,0.0136986301369863,0,0,0,84.45000000000003,0.0,0.638,0.362,0.892,2,0,4,0,1,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
